parameter1,parameter2,output
8.669,6.815,88.8
5.633,13.293,58.3
8.436,11.251,93.7
4.733,12.609,47.6
5.159,11.389,49.4
9.615,10.049,112.5
8.525,10.002,92.7
8.609,14.783,103.7
0.274,2.656,5.4
1.306,6.938,15.6
1.985,14.271,32.5
4.908,8.87,41.8
5.16,5.273,37.2
9.288,2.894,92.1
9.776,12.919,121.4
5.629,1.263,34.2
2.455,5.72,17.5
4.31,2.005,22.6
9.929,9.553,117.7
8.899,8.222,95.6
7.891,12.94,88.1
4.553,12.022,44.8
6.08,8.874,54.7
4.485,9.834,39.8
6.525,9.117,60.8
1.963,8.038,19.9
4.19,4.03,25.6
8.39,1.192,72.8
7.613,13.426,84.8
9.183,2.803,89.9
8.32,5.786,80.8
1.383,14.312,30.5
5.535,6.702,44.0
7.504,2.89,62.1
5.519,11.546,53.6
7.224,4.292,60.8
8.218,4.355,76.2
6.107,1.518,40.3
6.115,1.489,40.4
9.924,1.97,102.4
1.353,7.711,17.3
1.03,14.438,29.9
8.283,6.372,81.4
5.339,14.086,56.7
2.275,14.139,33.5
7.408,10.788,76.5
1.704,7.075,17.1
0.94,2.968,6.8
8.063,13.715,92.4
8.557,7.883,89.0
2.818,6.204,20.3
5.889,2.012,38.7
4.592,3.894,28.9
3.578,14.658,42.1
6.648,14.448,73.1
0.797,13.475,27.6
8.817,12.541,102.8
0.18,2.385,4.8
7.569,14.007,85.3
0.344,6.948,14.0
5.021,6.341,37.9
2.326,9.769,24.9
5.495,4.053,38.3
0.916,4.532,9.9
7.798,11.738,84.3
4.958,7.27,39.1
4.512,1.499,23.4
0.698,11.071,22.6
8.7,2.539,80.8
9.388,7.432,103.0
5.231,7.054,41.5
1.485,11.883,26.0
9.676,0.004,93.6
4.874,1.891,27.5
2.883,12.886,34.1
6.148,11.444,60.7
0.275,9.519,19.1
7.918,13.149,89.0
5.244,13.134,53.8
0.692,14.892,30.3
9.436,6.844,102.7
7.004,13.932,76.9
2.996,9.591,28.2
5.513,13.261,56.9
0.101,14.711,29.4
3.018,5.886,20.9
1.976,2.106,8.1
2.82,6.852,21.7
3.585,7.858,28.6
8.805,10.094,97.7
2.833,12.445,32.9
0.465,2.86,5.9
5.835,5.989,46.0
3.342,13.263,37.7
0.853,11.921,24.6
5.359,0.732,30.2
1.13,6.093,13.5
2.79,0.015,7.8
7.799,14.707,90.2
8.013,11.389,87.0
7.562,11.62,80.4
2.542,6.824,20.1
7.966,8.659,80.8
