parameter1,parameter2,output
3.7,21.8,57.3
1.3,11.3,24.3
7.4,4.3,63.4
7.1,23.5,97.4
9.5,27.4,145.1
9.0,24.6,130.2
16.2,10.1,282.6
6.1,13.7,64.6
4.8,25.6,74.2
18.0,14.4,352.8
5.8,0.2,34.0
10.9,14.4,147.6
17.9,8.7,337.8
13.2,1.9,178.0
17.9,24.5,369.4
13.5,11.7,205.7
10.7,10.8,136.1
17.4,4.5,311.8
2.3,1.2,7.7
6.9,8.4,64.4
2.4,8.1,22.0
10.6,7.8,128.0
10.2,16.9,137.8
4.6,25.2,71.6
15.4,7.0,251.2
15.8,9.4,268.4
17.2,24.3,344.4
13.9,15.6,224.4
9.2,10.2,105.0
6.7,16.3,77.5
1.4,12.7,27.4
0.7,22.8,46.1
2.6,14.6,36.0
18.6,12.7,371.4
13.1,14.2,200.0
9.7,9.3,112.7
10.1,17.8,137.6
6.6,3.9,51.4
14.2,2.1,205.8
20.0,17.6,435.2
12.2,19.3,187.4
16.8,19.7,321.6
2.8,6.5,20.8
14.1,27.0,252.8
8.4,26.9,124.4
1.2,8.2,17.8
1.2,4.2,9.8
1.9,19.8,43.2
19.5,20.0,420.2
13.9,15.8,224.8
